state,jpos0,jpos1,jpos2,jpos3,jpos4,jpos5,jpos6,jpos7,jpos8,jpos9,jpos10,jpos11,jvel0,jvel1,jvel2,jvel3,jvel4,jvel5,jvel6,jvel7,jvel8,jvel9,jvel10,jvel11,jpos0_des,jpos1_des,jpos2_des,jpos3_des,jpos4_des,jpos5_des,jpos6_des,jpos7_des,jpos8_des,jpos9_des,jpos10_des,jpos11_des,kp,kd
2,-0.00641137,0.8298,-1.52116,0.0943373,0.736515,-1.29269,-0.105838,0.756887,-1.23555,0.0350489,0.666962,-1.51499,0.763478,1.74786,-2.61446,3.06941,-3.02291,8.48841,-4.15844,-2.81751,9.80474,-0.081386,-7.05733,-0.35183,0.114336,0.876567,-1.64304,0.0669984,0.647598,-1.16468,-0.227188,0.644302,-1.1194,-0.0191063,0.434576,-1.47883,20,0.5
2,-0.00199085,0.84282,-1.53603,0.106751,0.718651,-1.24182,-0.127153,0.744109,-1.18853,0.0342617,0.624029,-1.51576,1.04252,2.17417,-2.18377,1.69748,-2.87564,7.80497,-4.82115,-1.2828,9.69555,-0.166648,-6.94494,0.0444843,0.0698216,0.676433,-1.37412,-0.0924326,0.78831,-1.34207,-0.0384191,0.607857,-1.26815,-0.0302863,0.549165,-1.15675,20,0.5
2,0.00076443,0.848209,-1.54066,0.110142,0.711566,-1.22284,-0.140082,0.740991,-1.15688,0.0339286,0.607013,-1.51427,1.1084,2.00365,-1.86227,1.15878,-2.6121,7.3763,-4.75139,-1.35256,8.7634,-0.0620084,-6.42562,0.782519,0.0698216,0.676433,-1.37412,-0.0924326,0.78831,-1.34207,-0.0384191,0.607857,-1.26815,-0.0302863,0.549165,-1.15675,20,0.5
2,0.00488216,0.85048,-1.54456,0.113533,0.70757,-1.1977,-0.151587,0.733088,-1.13058,0.0328084,0.586212,-1.50734,0.623959,0.414681,-0.691528,0.883619,-0.379801,6.42191,-2.52297,-2.42995,6.37541,-0.360424,-4.92192,2.32127,0.0698216,0.676433,-1.37412,-0.0924326,0.78831,-1.34207,-0.0384191,0.607857,-1.26815,-0.0302863,0.549165,-1.15675,20,0.5
2,0.00939351,0.852266,-1.54434,0.119468,0.699183,-1.17105,-0.176142,0.717102,-1.10199,0.0305375,0.557176,-1.48957,0.934001,-0.310042,0.471129,0.616208,-2.01915,4.41203,-4.20107,-3.17018,4.83463,-0.445685,-6.08457,3.65984,0.0698216,0.676433,-1.37412,-0.0924326,0.78831,-1.34207,-0.0384191,0.607857,-1.26815,-0.0302863,0.549165,-1.15675,20,0.5
2,0.0137232,0.845908,-1.53911,0.118257,0.693461,-1.15515,-0.190615,0.706838,-1.0833,0.0290237,0.522629,-1.46946,1.11615,-1.69748,1.33453,-0.480565,-0.73635,2.51538,-3.11205,-1.67423,2.69939,-0.32942,-6.68915,4.30689,-0.0225671,0.689233,-1.26796,-0.0370984,0.716395,-1.25785,-0.026036,0.602669,-1.24958,-0.052862,0.530384,-1.11668,20,0.5
2,0.0184465,0.838096,-1.53276,0.117015,0.689797,-1.14891,-0.20209,0.698875,-1.07502,0.026874,0.500345,-1.45241,0.496067,-2.34082,1.89463,-0.131768,-1.15103,1.30218,-1.90676,-2.24393,1.89665,-0.51932,-5.37148,5.07727,-0.0225671,0.689233,-1.26796,-0.0370984,0.716395,-1.25785,-0.026036,0.602669,-1.24958,-0.052862,0.530384,-1.11668,20,0.5
2,0.0185071,0.831042,-1.52457,0.1165,0.686588,-1.14613,-0.205239,0.69073,-1.07085,0.0260262,0.485842,-1.43448,-0.0852615,-2.22455,2.95618,-0.275162,-0.871993,0.657154,-1.61609,-2.66248,0.978654,-0.437934,-4.20494,5.94269,-0.0225671,0.689233,-1.26796,-0.0370984,0.716395,-1.25785,-0.026036,0.602669,-1.24958,-0.052862,0.530384,-1.11668,20,0.5
2,0.016206,0.81775,-1.50808,0.110869,0.684952,-1.14428,-0.214171,0.676681,-1.06981,0.0250573,0.465526,-1.40199,0.0503818,-2.85239,3.64164,-1.02701,0.0775105,0.171871,-1.1394,-2.65086,-0.266906,-0.0930126,-3.705,6.76161,-0.0225671,0.689233,-1.26796,-0.0370984,0.716395,-1.25785,-0.026036,0.602669,-1.24958,-0.052862,0.530384,-1.11668,20,0.5
2,0.0168418,0.796798,-1.48581,0.104753,0.687223,-1.14693,-0.217743,0.658424,-1.07365,0.0233618,0.447753,-1.36698,-0.081386,-3.14305,4.50302,-0.972756,0.158896,-0.778475,-0.302291,-2.55009,-1.08986,-0.44181,-3.25932,6.89304,-0.0451282,0.677111,-1.28086,0.19071,0.653721,-1.20949,-0.0524233,0.634336,-1.12058,-0.0355392,0.394363,-1.244,20,0.5
